scenario,substrate_config,substrate_fraction,revassim_rate,region,year_260_slavic_share_mean,year_260_slavic_share_sd,year_260_pop_mean,run_count
slavic1,cbi_only,0.10,0.005,Pannonian Plain,0.428132,0.231117,415.30,10
slavic1,cbi_only,0.10,0.005,Aegean Littoral,0.140741,0.061266,911.70,10
slavic1,cbi_only,0.10,0.005,Peloponnese,0.060684,0.070035,72.70,10
slavic1,cbi_only,0.10,0.005,Albanian Highlands,0.193667,0.230142,286.00,10
slavic1,cbi_only,0.10,0.005,Adriatic Coastal,0.208561,0.198604,207.10,10
slavic1,cbi_only,0.10,0.005,Lower Danubian Frontier,0.882628,0.048530,651.10,10
slavic1,cbi_only,0.10,0.005,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.10,0.015,Carpatho-Balkan Interior,0.078523,0.031610,2425.30,10
slavic1,cbi_only,0.10,0.015,Pannonian Plain,0.270383,0.183868,470.40,10
slavic1,cbi_only,0.10,0.015,Aegean Littoral,0.016229,0.009190,898.30,10
slavic1,cbi_only,0.10,0.015,Peloponnese,0.010517,0.015769,63.40,10
slavic1,cbi_only,0.10,0.015,Albanian Highlands,0.033539,0.036444,283.20,10
slavic1,cbi_only,0.10,0.015,Adriatic Coastal,0.026615,0.032976,225.30,10
slavic1,cbi_only,0.10,0.015,Lower Danubian Frontier,0.893524,0.069518,825.80,10
slavic1,cbi_only,0.10,0.015,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.10,0.030,Carpatho-Balkan Interior,0.053984,0.043107,2568.60,10
slavic1,cbi_only,0.10,0.030,Pannonian Plain,0.197029,0.198632,384.90,10
slavic1,cbi_only,0.10,0.030,Aegean Littoral,0.001096,0.002378,906.90,10
slavic1,cbi_only,0.10,0.030,Peloponnese,0.000976,0.003085,109.00,10
slavic1,cbi_only,0.10,0.030,Albanian Highlands,0.000568,0.001797,218.40,10
slavic1,cbi_only,0.10,0.030,Adriatic Coastal,0.000000,0.000000,161.40,10
slavic1,cbi_only,0.10,0.030,Lower Danubian Frontier,0.836743,0.059574,765.70,10
slavic1,cbi_only,0.10,0.030,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.10,0.045,Carpatho-Balkan Interior,0.036275,0.027790,2412.90,10
slavic1,cbi_only,0.10,0.045,Pannonian Plain,0.186757,0.185125,443.40,10
slavic1,cbi_only,0.10,0.045,Aegean Littoral,0.000000,0.000000,920.10,10
slavic1,cbi_only,0.10,0.045,Peloponnese,0.000000,0.000000,113.80,10
slavic1,cbi_only,0.10,0.045,Albanian Highlands,0.000000,0.000000,280.00,10
slavic1,cbi_only,0.10,0.045,Adriatic Coastal,0.000000,0.000000,169.50,10
slavic1,cbi_only,0.10,0.045,Lower Danubian Frontier,0.847683,0.100119,768.60,10
slavic1,cbi_only,0.10,0.045,unassigned,0.000000,0.000000,0.00,10
slavic1,cbi_only,0.20,0.000,Carpatho-Balkan Interior,0.505697,0.081757,2283.00,10
slavic1,cbi_only,0.20,0.000,Pannonian Plain,0.642079,0.137098,393.80,10
slavic1,cbi_only,0.20,0.000,Aegean Littoral,0.328750,0.101519,888.60,10
slavic1,cbi_only,0.20,0.000,Peloponnese,0.329829,0.275659,90.70,10
